,Unnamed: 0,file_name,ground_truth,word_lenth,transcribe_sentence,cer
29,29,089e98652ee6694cdc3adc6e4037ea0f.wav,할 얘기가 없으니까 친정에서 돈 빼돌렸다는 것밖에는 그래서 우울증으로 죽었다는 것밖에는 할 얘기가 없는 거다.,61, 할 얘기가 없으니까 친정에서 돈 빼돌렸다는 것밖에는 그래서 우울증으로 죽었다는 것밖에는 할 얘기가 없는 거다.,0.0
30,30,7bcc961a2a994aed024be30a98bc8266.wav,당신도 얼른 너의 몫을 해야 할거에요.,21, 당신도 얼른 너의 목수를 해야 할 거예요,0.25
31,31,4a5e1da4618a8bb566f6e8f3dacb2472.wav,우리가 지난 화요일에 앉았던 테이블에 이번에도 앉고 싶어.,32, 우리가 지난 화요일에 앉았던 테이블에 이번에도 안고 싶어,0.041666666666666664
32,32,7ca24e12eb21db23dc1f8887629b53a7.wav,그래서 자동차도 많지 않고 사람들도 많지 않아.,26," 그래서 자동차도 많지 않고, 사람들도 많지 않아.",0.0
33,33,b63d3dfb7ea8acebcae276a3856deb5c.wav,너의 고양이 곧 수의사에게 치료받고 언제 아픈지도 모르게 곧 나을 테니 걱정하지 마.,47, 너의 고양이 꽃 수의사에게 치료받고 언제 아픈지도 모르게 곧 나을 테니 걱정하지 마,0.029411764705882353
34,34,8e077bea5408865060f838f787c06457.wav,삶의 놀라움과 다양함 속에서 또 다른 삶이 태어난다.,29, 삶의 놀라운과 다양함 속에서 또 다른 삶이 태어난다.,0.047619047619047616
35,35,e18f267201ae42532af20da47fc39827.wav,얇은 눈꺼풀 사이에 얼마나 넓고 깊은 세상이 있는 걸까.,31, 얇은 눈꺼풀 사이에 얼마나 넓고 깊은 세상이 있는 걸까?,0.0
36,36,a090ba66b684fcdad9239329f42f31c1.wav,엄마가 핥아주지 않으면 오줌과 똥을 싸지도 못한다.,28, 엄마가 할 타주지 않으면 오줌과 똥을 싸지도 못한다,0.09523809523809523
37,37,316f5a96ba76082ad524504f7fbbf2ef.wav,법조인이 읊조리는 공평무사와 정의가 어디 있는지 의아할 뿐이다.,35, 법조인이 읍조리는 공평무서와 정의가 어딨는지 의아할 뿐이다.,0.14814814814814814
38,38,e5ff69d3e237ac0c30ea3b80bca809c5.wav,뻥 뚫린 가슴을 뻥 뚫린 음악이 메웠다.,22, 뻥 뚫린 가슴을 뻥 뚫린 음악이 매웠다,0.06666666666666667
39,39,5ddd1987966c4dc1041ea70b48ce09e4.wav,꼬마 생쥐가 부엌을 돌아다니면서 음식과 노는 모습이 귀엽습니다.,35, 꼬마생지가 부어클 돌아다니면서 음식과 노는 모습이 귀엽습니다.,0.1111111111111111
40,40,9ed5791b103e7084911fb5df27310d21.wav,짙푸른 차밭이 끝없이 펼쳐진 이곳은 마치 신이 내린 녹차의 천국 같아.,39, 집푸른 차 받지 끝없이 펼쳐진 이곳은 마치 신이메린 녹차의 천국가다.,0.21428571428571427
41,41,af97946aee6dd89e680ccecab10cacd3.wav,이게 그렇게 예쁘지 않다는 것은 알지만 니가 좋아했으면 좋겠고 언젠가 입었으면 좋겠어.,48, 이게 그렇게 예쁘지 않다는 것은 알지만 네가 좋아했으면 좋겠고 언젠가 입었으면 좋겠어.,0.027777777777777776
42,42,6bfc1f23281a7a1fbe8cd7e9fb2e1ac2.wav,뭐? 진짜? 종이 영수증을 말하는 건 아니겠지? 요즘 누가 종이 영수증을 다 챙겨가지고 다녀?,52, 뭐? 진짜? 종이용 수중을 말하는 건 아니겠지? 요즘 누가 종이용 수중을 다 챙겨가지고 다녀?,0.11428571428571428
43,43,3d303bf7c19601f1546348a9ff8bddce.wav,노르웨이나 스웨덴이라고 생각하고 있습니다.,23, 노루에이나 스웨덴이라고 생각하고 있습니다.,0.10526315789473684
44,44,905f90e358e39b7a19cc86f4c779c4d4.wav,일정한 전력 공급이 필요하다는 지적도 목표치 조정에 한몫했다.,34, 일정한 전력 공급이 필요하다는 지적도 목표치 조정에 한 먹겠다.,0.07692307692307693
45,45,fac5e5cdb451daa76c853be19c3d58b9.wav,닭갈비 전문점에서 뼈 없는 닭갈비와 겨울철에 닭 내장을 맛볼 수 있다.,39, 닭갈비 전문점에서 뼈 없는 닭갈비와 겨울철에 당 내장을 맛볼 수 있다.,0.03571428571428571
46,46,daa4220b29125bf7dee6b58750a99509.wav,여기 계약서 내용 한번 잘 훑어보시고 서명해주시면 됩니다.,32, 여기 계약서 내용 한번 잘 훈터보시고 설명해 주시면 됩니다.,0.125
47,47,71296293f42eeb67846be43ab832c7d9.wav,오종혁이 시작하자 조상웅이 합류해 동시에 대사를 읊었다.,31, 5종혁이 시작하자 조상웅이 함유의 동시대사를 벗다,0.2916666666666667
48,48,8d31a899f9e63fb53f37e57df17359a7.wav,내가 오늘 늦잠을 자서 수업에 늦을 뻔했지만 결국은 수업에 늦지 않게 도착하여 열심히 공부했어요.,54, 내가 오늘 늦잠을 자서 수업에 늦을 뻔 했지만 결국은 수업에 늦지 않게 도착하여 열심히 공부했어요.,0.0
49,49,826d928c735cacb7203f3a71fbafb56a.wav,부엌은 일요일에 문 닫습니다.,16, 부옥은 1요일에 문 닫습니다.,0.16666666666666666
50,50,4674e9123d0dd17e43212f81a4b9dee6.wav,안녕하세요! 만나서 반갑습니다! 하고 활짝 웃기!,27, 안녕하세요! 만나서 반갑습니다. 하고 활짝 웃기.,0.0
51,51,5fa72427fdab9e6cc8a3d588c06239ff.wav,니가 걔를 무시하는 거 알면서도 걔가 니 번호를 물어본 거야?,34, 네가 개를 무시하는 거 알면서도 걔가 네 번호를 물어본 거야?,0.125
52,52,98bc83a984508bc8f386eb48d72fa7df.wav,라인업 선택하는 것은 내가 감당해야 할 몫이다.,26, 라인업 선택하는 것은 내가 감당해야 할 몫이다.,0.0
53,53,332e07b6ae237f078e77d385c4768b36.wav,열차 출발 전 먼저 앉으시면 앉아서 가시는 기차입니다.,30, 열타 출발전 멈춰 안 드시면 안 자서 가시는 기차입니다.,0.3181818181818182
54,54,fc2cf3ea905115a1c18d799c03bb86d9.wav,젊은이들은 창조하고 창의성은 당신을 젊게 만들어준다.,29, 열문이들은 창조하고 창의성은 당신을 점개 만들어 준다.,0.17391304347826086
55,55,b0a68936d63887a3fa09d7cdd3a9fefc.wav,겉넓이와 부피의 비가 작을수록 겉넓이가 클수록 더 색이 잘 변해요.,37, 건너비와 부피애비가 작을수록 건너비가 클스록 더 색이 잘 변해요,0.2962962962962963
56,56,67e656188476c2f90739c8f6a82be4a1.wav,그는 제 보고서의 내용을 쓱 훑어보았습니다.,24, 드는 제 보고서의 내용을 숙 훈터부 왔습니다.,0.3333333333333333
57,57,7a3ff4d8f387c08cb897dcc0e6fdcd3a.wav,환영사를 읊던 그녀의 눈에 그가 비치자 순간 말문이 막혔다.,33, 환영사를 잇던 그녀의 눈에 그가 빛이자 순간 말문이 막혔다.,0.125
58,58,17a4eb2ed0f993bbfca15c9627425208.wav,예전에도 얘기했지만 나는 당신과 친구도 싫고 연인관계도 싫어.,34, 예전에도 얘기했지만 나는 당신과 친구도 싫고 연인 관계도 싫어,0.0
59,59,eda6ee7b68384d064b84ec3f163d429e.wav,부엌에 전등을 교체하기 위해서 당신의 의자가 필요해요.,30, 부어케 전등을 교체하기 위해서 당신의 의자라 필요해요,0.13043478260869565
60,60,723a286712f123be70eca2c909caed40.wav,소프트웨어 교육의 중요성이 날로 더해가는데 학생들은 소프트웨어 관련 교육을 쉽게 지루해해요.,51, 소프트웨어 교육의 중요성이 날로 더해 가는데 학생들은 소프트웨어 관련 교육을 쉽게 지루해야 해요.,0.024390243902439025
61,61,6c8ae11ecbd2c083e68aa91f87f2dd64.wav,저는 황홀한 풍경에 넋이 나갔습니다.,20, 저는 황호란 풍경에 녹시나갔습니다.,0.26666666666666666
62,62,a4c5bd1f912a3f60d8a2382ca80f88b1.wav,돈이 없어서 그냥 쓱 훑어보고 있습니다.,22, 돈이 없어서 그냥 쑥 훌터보고 있습니다.,0.1875
63,63,3f4838b090c22dcb0fa4993499268233.wav,너도 바쁜데 뭐하러 전화해서 내 연애 스토리를 읊어.,29, 너도 바쁜데 뭐하러 전화해서 내 연의 스토리를 을 퍼,0.14285714285714285
64,64,1c7104ba5eeffaa99c5d88238806e092.wav,이건 최소한 몇몇 순수한 이차함수처럼 좋고 최소한 몇몇 순수한 이차함수처럼 안 좋아요.,48, 이건 최소한 몇몇 순수한 2차 암수처럼 좋고 최소한 몇몇 순수한 2차 암수처럼 안 좋아요.,0.1111111111111111
65,65,af204f85d92c6a35b4e9b37a0f1c8c0c.wav,그들은 남편이 부엌일을 하는 것을 좋아하지 않습니다.,29, 그들은 남편이 부엉리를 하는 것을 좋아하지 않습니다.,0.13636363636363635
66,66,40a6bd53df7b4a695291f3d8764bda8c.wav,사우스캐롤라이나의 찰스턴은 쿠두 커피 앤 크래프트 비어의 오트밀 건포도 쿠키야.,44, 사우스 캐럴 라이너의 찰스턴은 쿠드 커피한 크라프트 비어의 오키미를 건포도 쿠키야,0.22857142857142856
67,67,203e5a270d9d680cf6e73ab9d0104fa3.wav,이 책의 주요 캐릭터는 돼지들인데 첫째 돼지와 둘째 돼지 그리고 셋째 돼지가 있어.,46, 이 책의 주요 캐릭터는 돼지들인데 첫째 돼지와 둘째 돼지 그리고 셋째 돼지가 있어,0.0
68,68,c84df0effb3ec5ab4cabcb6f1e039afc.wav,봄철 낚시를 즐기려는 낚시꾼들이 낚싯대를 드리우고 있다.,31, 봄철 낚시를 드리기라는 낚시꾼들이 낚시대를 드리고 있다.,0.2
69,69,76b0f6bc46cc95c634c73cef3bbbe6c9.wav,여기에는 인터넷과 스마트폰의 대중화가 큰 몫을 했다.,29, 여기에는 인터넷과 스마트폰의 대중화가 큰 목술했다.,0.09090909090909091
70,70,11a2f529a02cd920422a0fb0cc566c6c.wav,우리는 그 곰인형을 벤치 한 가운데에 앉히고 그 양 옆에 우리가 앉았어요.,41, 우리는 그 고민형을 벤치한 가운데에 앉고 그 양 옆에 우리가 앉았어요.,0.10344827586206896
71,71,f52138afec22c460dc13e5240c06deef.wav,그를 믿는 자는 영생을 얻었으니 그를 믿어라.,25, 그룹 믿는자는 영생을 얻었으니 그룹 믿어라.,0.1111111111111111
72,72,ea16c560d5795c8414726147a80b8390.wav,젖병등대를 마주 보는 곳에 붉은색의 닭볏등대가 있다.,29, 적병 등대를 맞이 보는 곳에 붉은 세계의 닿뼈 등대가 있다,0.30434782608695654
73,73,77138156d268e9cb00e96af96ee77529.wav,요즘 젊은이들은 삶의 의미에 관해 어떻게 생각하는지 궁금해요.,34, 요즘 젊은이들은 삶의 의미에 관해 어떻게 생각하는지 궁금해요,0.0
74,74,68cc80457d27adfe1150f3c22f4c7fa3.wav,저는 털이 짧고 피부가 얇아 추위를 많이 탑니다.,27, 저는 털이 짧고 피부가 얇아 주의를 많이 탑니다.,0.10526315789473684
75,75,2f3c10779e8d77fa60fae49ad3ddf90e.wav,바닥 또한 개들이 핥아도 무해한 항균 제품으로 닦아냈다.,31, 바닥도 한 개들이 하을터도 무회한 한균 제품으로 닦아 냈다.,0.25
76,76,b3f240b7248f26ceecb75909b145223a.wav,어떤 사람이 아무 이유 없이 널 싫어하면 싫어할 이유를 알려줘.,35, 어떤 사람이 아무 이유 없이 널 싫어하면 싫어할 일을 알려줘,0.12
77,77,e0ff987ce9010b0dfcc78b4ad0ecd28c.wav,벌레들이 우는 소리를 들으시려면 해 질 녘에 공원에 가세요.,33, 벌레들이 우는 소리를 들으시려면 해질력에 공원해 가세요.,0.08333333333333333
78,78,c8c2ac0f4d4b699a3e2afe8016c286cf.wav,할머니! 오랜만에 저 왔어요. 할머니 보고 싶었어요!,29, 할머니 오랜만에 좋았어요. 할머니 보고 싶었어요.,0.1
79,79,e868c85decdc60ec106f86c0fec9bad0.wav,하지만 내가 당신에게 물어 봤을 때 혼자 간다고 얘기를 해서 더는 나도 얘기 안 했어요.,49, 하지만 내가 당신에게 물어봤을 때 혼자 안 간다고 얘기를 해서 더는 나도 얘기를 안 했어요.,0.05555555555555555
80,80,c899b919a5e43b979c6514882d24436b.wav,소프트웨어 결제 후 사용하다가 최근에 컴퓨터를 바꿨는데 처음에 받았던 소프트웨어 라이센스 키가 먹히지 않아요.,61, 소프트웨어 결제 후 사용하다가 최근에 컴퓨터를 바꿨는데 처음에 받았던 소프트웨어 라이센 스키가 먹히지 않아요.,0.0
81,81,f1aa183acd73a5619ba7cdb247a4d317.wav,방위비분담금은 주한미군 주둔 비용 중 한국이 분담하는 몫을 말한다.,37, 방의비 분단금은 주한매군 주둠 비용 중 한국이 분담하는 목술말한다.,0.21428571428571427
82,82,fdfb443cb3b2be7a6295b3fb28cdb48c.wav,저는 어제 시험문제를 훑어보았습니다.,20, 저는 어제 시험 문제를 훈터보았습니다.,0.125
83,83,1e7021249ae793bc93cfcb5a8a7389d9.wav,가위를 찾고 있는데 아무리 찾아도 못 찾겠네요.,26, 가위를 찾고 있는데 아무리 찾아도 못 찾겠네요.,0.0
84,84,f6bcf4a26b8a1363e6aa9d194f2e30f7.wav,서점 안 부엌 딸린 방 한칸이 부부의 신혼집이었다.,28, 서저만 부옥 달린 방안 칸이 부부의 신혼집이었다.,0.25
85,85,d3b2cbe2f64facb080b97d1ccacc8f7d.wav,너는 여행 중에 뭐가 제일 기대돼? 음식? 문화 체험? 아니면 호텔?,38, 런은 여행 중에 뭐가 제일 기대 돼? 음식 문화체요? 아니면 호텔?,0.125
86,86,1a6da5bb4180b1bb178cd3d439351c64.wav,좀 전에 내 여권으로 내 몫의 담배는 샀어.,24, 동전의 내 여권으로 내 목세 담배는 샀어,0.25
87,87,2a05a97aeb919a974f6d55b35998ff73.wav,죄송하지만 자리에 앉아서 관람해 주시겠어요? 뒤에 앉은 관객분들의 시야가 가려져서요.,47, 죄송하지만 자리에 앉아서 관람해 주시겠어요? 뒤에 앉은 관객분들의 시아가 가려졌어요.,0.08333333333333333
88,88,3c392c7210acd7f2f1b1883a83d3de94.wav,저희는 찜닭과 닭볶음탕을 제공합니다.,20, 저희는 찜닭과 닭볶음탕을 제공합니다.,0.0
89,89,9f81ab0e6911c94b4bf48df75819013c.wav,당신이 사랑하는 삶을 살고 당신이 사는 삶을 사랑하세요.,31, 당신이 사랑하는 삶을 살고 당신이 사는 삶을 사랑하세요,0.0
90,90,2fa081616ee4420cab49b88d76f7132c.wav,베이스 컬러를 내장된 팁의 넓은 면을 사용하여 눈커플 전체에 얇게 펴 바릅니다.,44, 베이스 컬러를 내장된 팁에 넓은 면을 사용하여 눈꺼풀 전체에 얇게 펴받습니다.,0.15625
91,91,c6481656fe99792b290df0559fa50291.wav,지금까지 좁은 지면에서 제자백가 열 명의 주장을 겉핥기식으로 살펴보았다.,40, 지금까지 좁은 지면에서 제자백과 열명의 주장을 겉탈기식으로 살펴보았다.,0.06451612903225806
92,92,dcf28d5b5fac777d7059bef7129cdf7e.wav,기존 필터는 필터를 공기청정기에서 쉽게 들어 올릴 수 있게 손가락 구멍 두 개가 뚫려있지만 새로 구매한 건 뚫려있지 않습니다.,70, 기존 필터는 필터를 공기청정기에서 쉽게 들어 올릴 수 있게 손가락 구멍 두 개가 뚫려 있지만 새로 구매한 건 뚫려 있지 않습니다.,0.0
93,93,9e74d77f0a71916fd1bc4293bfb81a50.wav,십자가 없는 부활이 없듯이 고난 없는 영광은 없습니다.,30, 10자가 없는 부활이 없듯이 고난없는 영광은 없습니다.,0.08695652173913043
94,94,aa9b3747e3a6bfcc0de0c31b1b099a1d.wav,부엌세간들을 사려면 어디로 가야 하죠?,21, 부엌 세간들을 사려면 어디로 가야하죠?,0.0
95,95,03488efdffa2255d491676d67b6d8c13.wav,야! 너 주원이 맞지? 혹시 나 기억나? 같은 초등학교!,31, 야 너 주원이 맞지? 혹시 나 기억나? 같은 초등학교,0.0
96,96,44068b689d8134ae290a0c0c3b9363c2.wav,저는 대도시의 뺵뺵하게 자리 잡은 건축물들 네온 불빛의 화려함 등에서 영감을 받았습니다.,49, 저는 대도시의 백백하게 자리잡은 건축물들 네온 불빛에 화려한 등에서 영감을 받았습니다.,0.10810810810810811
97,97,8464cbc9e3da4fd7f48438e2232ee870.wav,다음 스크립트에 따라 쉐입 일부분 또는 모든 쉐입이 바뀝니다.,34," 다음 스크립트에 따라, SHAPE 1 부분 또는 모든 샵이 바뀝니다.",0.2857142857142857
98,98,cc4e6f7a074666f1e51431719124c091.wav,그는 카메라 플래시를 받아서 넋이 나간 거야?,25, 그는 카메라 플래시를 받아서 넉시 나간거야?,0.1111111111111111
99,99,f579577a595d1e2d4fa942c039da351b.wav,나도 훑어보듯이 읽은 거라 자세히 기억은 안 나지만 그랬던 것 같아.,38, 나도 훈터보도시 읽은 거라 자세히 기억은 안 나지만 그랬던 것 같아.,0.14814814814814814
100,100,ca7ca4e1456116c1be30862434b04e5b.wav,좋은 생각이야. 대신 부엌이랑 복도는 나눠서 청소하자.,30, 좋은 생각이야. 대신 부어키랑 복도는 나눠서 청소하자.,0.09090909090909091
101,101,d95b43e0f8039978f9f70a4387d2db37.wav,먹고 싶었던 음식들을 다 먹어보고 싶고 가족들이 사고 싶었던 것들 필요한 것들을 모두 사주고 싶다.,55, 먹고 싶었던 음식들을 다 먹어보고 싶고 가족들이 사고 싶었던 것들 필요한 것들을 모두 사주고 싶다,0.0
102,102,8e090acacf538d636c4bc65c096e2595.wav,이쁜 글씨에 논리적이지 못한 글을 쓰는 것보다 악필에 논리적인 글을 쓰는 것이 언어 측면에서는 훨씬 이득이며 대우받을 것입니다.,71, 이쁜 글씨에 논리적이지 못한 글을 쓰는 것보다 악필에 논리적인 글을 쓰는 것이 언어 측면에서는 훨씬 이 늦기며 대우 받을 것입니다.,0.03773584905660377
103,103,6a2c36154576f1db1435705593089d5c.wav,수비에서는 좌익수 크리스 테일러가 한몫 단단히 해냈다.,30, 수비에서는 좌이크스 크리스텔 이러가 한 목 단단히 해냈다.,0.25
104,104,fe85840010c4c5fa14f60684f0df62a1.wav,손님이 자리에 앉기 전까지는 아무도 자리에 앉지 못해요.,31, 손님이 자리에 앉기 전까지는 아무도 자리에 앉지 못해요.,0.0
105,105,873b7357042132d99bad9a1fefe884fc.wav,남들 보다 우월한 삶도 뒤쳐진 삶도 아니었던 것 같아.,30," 남들보다 월한 삼도, 뒤쳐진 삼도 아니었던 것 같아.",0.14285714285714285
106,106,4f291779fd84437291bd67a2069d69ef.wav,휴가 시즌에 보통 가족들이 모여 이 바삭하고 얇고 무늬로 꾸며진 얇은 과자를 만듭니다.,48, 휴가 시즌에 보통 가족들이 보여 이 바삭하고 얇고 문이로 꾸며진 얇은 과자를 만듭니다.,0.08571428571428572
107,107,f2ab4776cf1346c3d8e91e74884a42de.wav,이 소설책은 언뜻 내용만 훑어봐도 끔찍해요.,24, 이 소설책은 언급 내용만 훈터받아도 끔찍해요.,0.2631578947368421
108,108,96698176a525646fa869af90acae8548.wav,어제는 옳았지만 오늘은 옳지않은 일들이 수없이 많다.,29, 어제는 오랐지만 오늘은 옳지 않은 일들이 수없이 많다.,0.09090909090909091
109,109,0c1d96c61b5bf38a788be3b31de209af.wav,빨간 꽃과 노란 꽃이 꽃밭 가득 피었습니다.,24, 빨간 꽃과 노란 꽃이 꽃받 가득 피었습니다.,0.058823529411764705
110,110,c652e7a19175a745fa9d55bb31a0a8b4.wav,그녀의 가족은 그녀와 부엌에 있습니다.,21, 그녀의 가족은 그녀와 부어케 있습니다.,0.125
111,111,8b8e9a1c4c98bfd279165181d6132879.wav,그럼 나가서 봐! 애들이 요즘 당신 따라 한다고!,27, 그럼 나가서 봐 애들이 요즘 당신 따라한다고,0.0
112,112,de04e4f30d90d1eff499588a74f6efa3.wav,철수는 출장 가서 내일 얘기할 거고 영희는 오늘 얘기할 건데 찬성할지는 자신 없습니다.,48, 철수는 출장 가서 내일 얘기할 거고 영인은 오늘 얘기할 건데 찬성할지는 자신 없습니다,0.05714285714285714
